"NS" "Trial" "Step" "Choice1" "Choice2" "Resp1" "Resp2" "Reward" "RT1" "RT2"
"199" 2 "step_2_no_load" 3 4 0.533203491871 4 1 0.580156942153 418
"203" 2 "step_1_no_load" 1 2 2 NA NA 794 NA
"203" 2 "step_2_no_load" 3 4 0.533203491871 4 1 0.580156942153 410
"206" 2 "step_1_no_load" 1 2 1 NA NA 659 NA
"206" 2 "step_2_no_load" 5 6 0.610961032466 -1 -1 0.580156942153 -1
"207" 2 "step_1_no_load" 1 2 1 NA NA 570 NA
"207" 2 "step_2_no_load" 5 6 0.533203491871 -1 -1 0.610961032466 -1
"208" 2 "step_1_no_load" 1 2 1 NA NA 426 NA
"208" 2 "step_2_no_load" 3 4 0.474613197709 3 0 0.580156942153 487
"210" 2 "step_1_no_load" 1 2 1 NA NA 449 NA
"210" 2 "step_2_no_load" 3 4 0.580156942153 4 1 0.610961032466 695
"211" 2 "step_1_no_load" 1 2 -1 NA NA -1 NA
"212" 2 "step_1_no_load" 1 2 2 NA NA 617 NA
"212" 2 "step_2_no_load" 5 6 0.474613197709 5 1 0.533203491871 767
"213" 2 "step_1_no_load" 1 2 2 NA NA 519 NA
"213" 2 "step_2_no_load" 5 6 0.474613197709 6 1 0.610961032466 963
"217" 2 "step_1_no_load" 1 2 1 NA NA 270 NA
"217" 2 "step_2_no_load" 3 4 0.580156942153 4 0 0.474613197709 346
"220" 2 "step_1_no_load" 1 2 1 NA NA 796 NA
"220" 2 "step_2_no_load" 3 4 0.533203491871 4 1 0.474613197709 675
"229" 2 "step_1_no_load" 1 2 2 NA NA 506 NA
"229" 2 "step_2_no_load" 3 4 0.610961032466 4 1 0.533203491871 414
"230" 2 "step_1_no_load" 1 2 2 NA NA 331 NA
"230" 2 "step_2_no_load" 5 6 0.580156942153 6 1 0.533203491871 542
"234" 2 "step_1_no_load" 1 2 1 NA NA 914 NA
"234" 2 "step_2_no_load" 5 6 0.580156942153 6 0 0.610961032466 832
"235" 2 "step_1_no_load" 1 2 2 NA NA 18 NA
"235" 2 "step_2_no_load" 5 6 0.533203491871 5 1 0.580156942153 1052
"238" 2 "step_1_no_load" 1 2 1 NA NA 476 NA
"238" 2 "step_2_no_load" 5 6 0.580156942153 6 1 0.474613197709 1010
"240" 2 "step_1_no_load" 1 2 2 NA NA 558 NA
"240" 2 "step_2_no_load" 3 4 0.533203491871 4 1 0.610961032466 610
"241" 2 "step_1_no_load" 1 2 1 NA NA 614 NA
"241" 2 "step_2_no_load" 3 4 0.580156942153 3 0 0.474613197709 1013
"248" 2 "step_1_no_load" 1 2 2 NA NA 361 NA
"248" 2 "step_2_no_load" 3 4 0.533203491871 3 1 0.580156942153 1143
"250" 2 "step_1_no_load" 1 2 1 NA NA 627 NA
"250" 2 "step_2_no_load" 3 4 0.610961032466 3 1 0.533203491871 534
"260" 2 "step_1_no_load" 1 2 1 NA NA 387 NA
"260" 2 "step_2_no_load" 3 4 0.474613197709 4 1 0.580156942153 906
"263" 2 "step_1_no_load" 1 2 1 NA NA 482 NA
"263" 2 "step_2_no_load" 3 4 0.610961032466 4 0 0.474613197709 161
"264" 2 "step_1_no_load" 1 2 1 NA NA 612 NA
"264" 2 "step_2_no_load" 3 4 0.474613197709 -1 -1 0.610961032466 -1
"270" 2 "step_1_no_load" 1 2 1 NA NA 676 NA
"270" 2 "step_2_no_load" 5 6 0.533203491871 6 0 0.474613197709 710
"271" 2 "step_1_no_load" 1 2 2 NA NA 449 NA
"271" 2 "step_2_no_load" 5 6 0.533203491871 6 1 0.474613197709 624
"273" 2 "step_1_no_load" 1 2 1 NA NA 664 NA
"273" 2 "step_2_no_load" 3 4 0.610961032466 3 1 0.580156942153 568
"274" 2 "step_1_no_load" 1 2 1 NA NA 503 NA
"274" 2 "step_2_no_load" 3 4 0.533203491871 3 1 0.474613197709 1294
"275" 2 "step_1_no_load" 1 2 2 NA NA 612 NA
"275" 2 "step_2_no_load" 5 6 0.533203491871 6 1 0.474613197709 372
"281" 2 "step_1_no_load" 1 2 1 NA NA 384 NA
"281" 2 "step_2_no_load" 3 4 0.533203491871 4 1 0.580156942153 438
"290" 2 "step_1_no_load" 1 2 1 NA NA 349 NA
"290" 2 "step_2_no_load" 5 6 0.474613197709 5 0 0.580156942153 383
"291" 2 "step_1_no_load" 1 2 1 NA NA 541 NA
"291" 2 "step_2_no_load" 3 4 0.474613197709 4 1 0.610961032466 676
"292" 2 "step_1_no_load" 1 2 1 NA NA 265 NA
"292" 2 "step_2_no_load" 3 4 0.610961032466 3 1 0.474613197709 323
"293" 2 "step_1_no_load" 1 2 1 NA NA 408 NA
"293" 2 "step_2_no_load" 3 4 0.533203491871 -1 -1 0.580156942153 -1
"294" 2 "step_1_no_load" 1 2 2 NA NA 586 NA
"294" 2 "step_2_no_load" 5 6 0.580156942153 6 0 0.474613197709 1005
"296" 2 "step_1_no_load" 1 2 2 NA NA 934 NA
"296" 2 "step_2_no_load" 3 4 0.580156942153 -1 -1 0.474613197709 -1
"298" 2 "step_1_no_load" 1 2 1 NA NA 599 NA
"298" 2 "step_2_no_load" 3 4 0.580156942153 3 1 0.474613197709 762
"299" 2 "step_1_no_load" 1 2 1 NA NA 319 NA
"299" 2 "step_2_no_load" 3 4 0.610961032466 3 1 0.580156942153 646
"300" 2 "step_1_no_load" 1 2 2 NA NA 446 NA
"300" 2 "step_2_no_load" 5 6 0.610961032466 6 1 0.580156942153 637
"301" 2 "step_1_no_load" 1 2 1 NA NA 12 NA
"301" 2 "step_2_no_load" 5 6 0.474613197709 -1 -1 0.580156942153 -1
"302" 2 "step_1_no_load" 1 2 1 NA NA 294 NA
"302" 2 "step_2_no_load" 5 6 0.580156942153 6 1 0.533203491871 493
"303" 2 "step_1_no_load" 1 2 1 NA NA 613 NA
"303" 2 "step_2_no_load" 3 4 0.610961032466 3 0 0.474613197709 366
"308" 2 "step_1_no_load" 1 2 2 NA NA 1036 NA
"308" 2 "step_2_no_load" 5 6 0.580156942153 5 1 0.610961032466 780
"311" 2 "step_1_no_load" 1 2 1 NA NA 328 NA
"311" 2 "step_2_no_load" 3 4 0.474613197709 3 0 0.580156942153 862
"312" 2 "step_1_no_load" 1 2 1 NA NA 638 NA
