"subjID" "Trial" "level1_choice" "level2_choice" "reward" "transition" "Stay" "PrReward" "PrTransition" "RT1" "RT2"
"111" 22 1 3 0 -1 0 1 -1 268 377
"111" 23 1 4 1 -1 1 0 -1 260 497
"111" 24 1 1 1 1 1 1 -1 262 916
"111" 25 1 4 0 -1 1 1 1 424 928
"111" 26 1 1 1 1 1 0 -1 322 1295
"111" 29 1 4 0 -1 1 0 1 274 631
"111" 30 1 3 0 -1 1 0 -1 268 542
"111" 31 2 4 1 1 0 0 -1 264 362
"111" 32 2 1 0 -1 1 1 1 252 1103
"111" 33 1 1 0 1 0 0 -1 365 373
"111" 34 2 2 1 -1 0 0 1 260 330
"111" 35 2 4 0 1 1 1 -1 258 256
"111" 36 2 4 1 1 1 0 1 282 279
"111" 37 2 4 0 1 1 1 1 240 315
"111" 38 1 4 0 -1 0 0 1 378 300
"111" 39 1 4 0 -1 1 0 -1 240 284
"111" 40 1 1 1 1 1 0 -1 216 239
"111" 41 1 1 1 1 1 1 1 266 230
"111" 42 1 3 0 -1 1 1 1 256 235
"111" 43 1 1 1 1 1 0 -1 268 443
"111" 44 1 1 0 1 1 1 1 240 457
"111" 45 1 4 1 -1 1 0 1 248 527
"111" 46 1 3 1 -1 1 1 -1 282 395
"111" 47 1 1 1 1 1 1 -1 251 370
"111" 48 1 1 1 1 1 1 1 263 780
"111" 49 1 1 1 1 1 1 1 381 638
"111" 50 1 4 1 -1 1 1 1 255 586
"111" 51 1 1 0 1 1 1 -1 266 506
"111" 52 1 1 1 1 1 0 1 263 608
"111" 53 1 4 0 -1 1 1 1 267 577
"111" 54 1 1 1 1 1 0 -1 515 379
"111" 55 1 1 1 1 1 1 1 343 336
"111" 56 1 1 1 1 1 1 1 241 364
"111" 57 1 1 1 1 1 1 1 252 363
"111" 58 1 4 0 -1 1 1 1 248 757
"111" 59 1 3 0 -1 1 0 -1 253 856
"111" 60 1 1 1 1 1 0 -1 437 344
"111" 61 1 3 1 -1 1 1 1 239 362
"111" 62 1 1 0 1 1 1 -1 281 339
"111" 63 2 4 1 1 0 0 1 234 386
"111" 64 2 4 1 1 1 1 1 260 315
"111" 65 2 4 0 1 1 1 1 335 522
"111" 66 2 4 0 1 1 0 1 260 362
"111" 67 2 4 0 1 1 0 1 258 537
"111" 68 1 1 1 1 0 0 1 578 347
"111" 69 1 1 0 1 1 1 1 262 264
"111" 70 1 1 1 1 1 0 1 428 529
"111" 71 1 1 1 1 1 1 1 267 273
"111" 72 1 2 0 1 1 1 1 368 316
"111" 73 1 1 0 1 1 0 1 275 280
"111" 74 1 1 0 1 1 0 1 231 198
"111" 75 1 2 0 1 1 0 1 251 262
"111" 76 1 2 0 1 1 0 1 322 703
"111" 77 2 4 0 1 0 0 1 235 227
"111" 78 1 3 0 -1 0 0 1 230 224
"111" 79 1 1 1 1 1 0 -1 1 312
"111" 80 1 1 1 1 1 1 1 514 380
"111" 81 1 1 0 1 1 1 1 250 241
"111" 82 1 1 1 1 1 0 1 248 229
"111" 83 1 1 1 1 1 1 1 292 745
"111" 84 1 3 0 -1 1 1 1 259 220
"111" 85 1 1 1 1 1 0 -1 317 430
"111" 86 1 1 1 1 1 1 1 237 585
"111" 87 1 3 1 -1 1 1 1 257 247
"111" 88 1 1 1 1 1 1 -1 227 266
"111" 89 1 1 1 1 1 1 1 233 221
"111" 90 1 1 1 1 1 1 1 221 328
"111" 91 1 3 1 -1 1 1 1 243 264
"111" 92 1 1 1 1 1 1 -1 251 225
"111" 93 1 1 1 1 1 1 1 252 227
"111" 94 1 1 0 1 1 1 1 261 228
"111" 95 1 3 1 -1 1 0 1 293 282
"111" 96 1 1 0 1 1 1 -1 829 402
"111" 97 1 1 0 1 1 0 1 237 224
"111" 98 1 4 1 -1 1 0 1 222 252
"111" 99 2 2 0 -1 0 1 -1 465 249
"111" 100 1 1 1 1 0 0 -1 292 247
"111" 101 1 1 1 1 1 1 1 302 243
"111" 102 1 3 0 -1 1 1 1 5 235
"111" 103 1 2 1 1 1 0 -1 280 1096
"111" 104 1 3 1 -1 1 1 1 247 219
"111" 105 1 3 0 -1 1 1 -1 239 202
"111" 106 1 4 0 -1 1 0 -1 240 423
"111" 107 1 1 1 1 1 0 -1 272 236
"111" 108 1 1 1 1 1 1 1 286 371
"111" 109 1 1 1 1 1 1 1 255 230
