"subjID"	"Type"	"Proba"
"118"	146	"PRRw"	0.685714285714286
"119"	146	"PUCw"	0.593220338983051
"120"	146	"PURw"	0.681818181818182
"121"	147	"PRCw"	1
"122"	147	"PRRw"	0.930555555555556
"123"	147	"PUCw"	0.902439024390244
"124"	147	"PURw"	0.978723404255319
"125"	148	"PRCw"	0.835616438356164
"126"	148	"PRRw"	0.787878787878788
"127"	148	"PUCw"	0.781818181818182
"128"	148	"PURw"	0.782608695652174
"129"	150	"PRCw"	0.988636363636364
"130"	150	"PRRw"	1
"131"	150	"PUCw"	0.955555555555556
"132"	150	"PURw"	1
"133"	151	"PRCw"	0.924242424242424
"134"	151	"PRRw"	0.882352941176471
"135"	151	"PUCw"	0.833333333333333
"136"	151	"PURw"	0.75
"137"	152	"PRCw"	0.946666666666667
"138"	152	"PRRw"	0.862068965517241
"139"	152	"PUCw"	0.821428571428571
"140"	152	"PURw"	0.761904761904762
"141"	153	"PRCw"	0.864197530864197
"142"	153	"PRRw"	0.941176470588235
"143"	153	"PUCw"	0.882352941176471
"144"	153	"PURw"	1
"145"	154	"PRCw"	0.905405405405405
"146"	154	"PRRw"	0.935483870967742
"147"	154	"PUCw"	0.533333333333333
"148"	154	"PURw"	0.56
"149"	155	"PRCw"	1
"150"	155	"PRRw"	1
"151"	155	"PUCw"	0.977777777777778
"152"	155	"PURw"	0.947368421052632
"153"	156	"PRCw"	1
"154"	156	"PRRw"	0.96969696969697
"155"	156	"PUCw"	0.851063829787234
"156"	156	"PURw"	1
"157"	157	"PRCw"	0.986842105263158
"158"	157	"PRRw"	0.96969696969697
"159"	157	"PUCw"	0.826923076923077
"160"	157	"PURw"	0.88
"161"	158	"PRCw"	0.919354838709677
"162"	158	"PRRw"	0.941176470588235
"163"	158	"PUCw"	0.985714285714286
"164"	158	"PURw"	1
"165"	159	"PRCw"	0.80952380952381
"166"	159	"PRRw"	0.733333333333333
"167"	159	"PUCw"	0.676470588235294
"168"	159	"PURw"	0.72
"169"	160	"PRCw"	0.584615384615385
"170"	160	"PRRw"	0.594594594594595
"171"	160	"PUCw"	0.818181818181818
"172"	160	"PURw"	0.85
"173"	161	"PRCw"	0.792207792207792
"174"	161	"PRRw"	0.592592592592593
"175"	161	"PUCw"	0.581818181818182
"176"	161	"PURw"	0.566666666666667
"177"	162	"PRCw"	1
"178"	162	"PRRw"	1
"179"	162	"PUCw"	1
"180"	162	"PURw"	1
"181"	163	"PRCw"	0.957142857142857
"182"	163	"PRRw"	0.891891891891892
"183"	163	"PUCw"	0.921875
"184"	163	"PURw"	1
"185"	164	"PRCw"	0.985714285714286
"186"	164	"PRRw"	0.810810810810811
"187"	164	"PUCw"	0.694915254237288
"188"	164	"PURw"	0.9
"189"	165	"PRCw"	1
"190"	165	"PRRw"	1
"191"	165	"PUCw"	0.553846153846154
"192"	165	"PURw"	0.607142857142857
"193"	166	"PRCw"	0.753086419753086
"194"	166	"PRRw"	0.633333333333333
"195"	166	"PUCw"	0.518518518518518
"196"	166	"PURw"	0.56
"197"	167	"PRCw"	0.603174603174603
"198"	167	"PRRw"	0.64
"199"	167	"PUCw"	0.525423728813559
"200"	167	"PURw"	0.363636363636364
"201"	168	"PRCw"	1
"202"	168	"PRRw"	1
"203"	168	"PUCw"	1
"204"	168	"PURw"	1
"205"	169	"PRCw"	0.626865671641791
"206"	169	"PRRw"	0.65625
"207"	169	"PUCw"	0.5
"208"	169	"PURw"	0.62962962962963
"209"	170	"PRCw"	0.317460317460317
"210"	170	"PRRw"	0.3
"211"	170	"PUCw"	0.507692307692308
"212"	170	"PURw"	0.391304347826087
"213"	178	"PRCw"	0.742857142857143
"214"	178	"PRRw"	0.75
"215"	178	"PUCw"	0.448275862068966
"216"	178	"PURw"	0.3
"217"	180	"PRCw"	0.721518987341772
"218"	180	"PRRw"	0.607142857142857
"219"	180	"PUCw"	0.648148148148148
"220"	180	"PURw"	0.724137931034483
"221"	181	"PRCw"	0.788461538461538
"222"	181	"PRRw"	0.708333333333333
"223"	181	"PUCw"	0.65
"224"	181	"PURw"	0.80952380952381
"225"	182	"PRCw"	0.754716981132076
"226"	182	"PRRw"	0.818181818181818
"227"	182	"PUCw"	0.784810126582278
"228"	182	"PURw"	0.681818181818182
"229"	183	"PRCw"	0.753424657534247
"230"	183	"PRRw"	0.62962962962963
"231"	183	"PUCw"	0.6
"232"	183	"PURw"	0.5
"233"	184	"PRCw"	0.544117647058823
"234"	184	"PRRw"	0.766666666666667
"235"	184	"PUCw"	0.733333333333333
"236"	184	"PURw"	0.68
"237"	187	"PRCw"	0.818181818181818
"238"	187	"PRRw"	0.763157894736842
"239"	187	"PUCw"	0.545454545454545
"240"	187	"PURw"	0.526315789473684
"241"	188	"PRCw"	0.80952380952381
"242"	188	"PRRw"	0.769230769230769
"243"	188	"PUCw"	0.768115942028985
"244"	188	"PURw"	0.84375
"245"	189	"PRCw"	0.948717948717949
"246"	189	"PRRw"	0.96875
"247"	189	"PUCw"	0.796296296296296
"248"	189	"PURw"	0.846153846153846
"249"	194	"PRCw"	0.611940298507463
"250"	194	"PRRw"	0.766666666666667
"251"	194	"PUCw"	0.549019607843137
"252"	194	"PURw"	0.684210526315789
"253"	195	"PRCw"	0.640625
"254"	195	"PRRw"	0.666666666666667
"255"	195	"PUCw"	0.553571428571429
"256"	195	"PURw"	0.454545454545455
"257"	196	"PRCw"	0.4
"258"	196	"PRRw"	0.482758620689655
"259"	196	"PUCw"	0.777777777777778
"260"	196	"PURw"	0.566666666666667
"261"	197	"PRCw"	1
"262"	197	"PRRw"	0.956521739130435
"263"	197	"PUCw"	1
"264"	197	"PURw"	0.962962962962963
