"subjID"	"Trial"	"Stage1"	"Stage2"	"Stay"	"RT"	"PrSSReward"	"transition"	"PrReward"	"PrTransition"
110	99	-1	1	0	745	1	-1	1	1
110	100	1	-1	1	401	1	1	-1	-1
110	100	-1	1	0	411	1	1	-1	-1
110	101	1	-1	1	6	-1	-1	-1	1
110	101	-1	1	0	227	-1	-1	-1	1
110	102	1	-1	1	0	-1	1	1	-1
110	102	-1	1	0	189	-1	1	1	-1
110	103	1	-1	1	17	-1	1	-1	1
110	103	-1	1	0	135	-1	1	-1	1
110	104	1	-1	0	11	-1	-1	-1	1
110	104	-1	1	0	1293	-1	-1	-1	1
110	105	1	-1	1	335	1	1	-1	-1
110	105	-1	1	1	415	1	1	-1	-1
110	106	1	-1	0	12	-1	1	1	1
110	106	-1	1	1	112	-1	1	1	1
110	107	1	-1	0	50	1	-1	1	1
110	107	-1	1	1	198	1	-1	1	1
110	108	1	-1	1	411	1	1	-1	-1
110	108	-1	1	1	857	1	1	-1	-1
110	109	1	-1	1	380	-1	-1	1	1
110	109	-1	1	0	546	-1	-1	1	1
110	110	1	-1	0	171	1	1	1	-1
110	110	-1	1	1	603	1	1	1	-1
110	111	1	-1	1	18	1	-1	1	1
110	111	-1	1	0	0	1	-1	1	1
110	112	1	-1	1	7	1	-1	1	-1
110	112	-1	1	0	54	1	-1	1	-1
110	113	1	-1	0	410	1	1	1	-1
110	113	-1	1	0	305	1	1	1	-1
110	114	1	-1	0	459	1	1	-1	1
110	114	-1	1	1	203	1	1	-1	1
110	115	1	-1	0	22	-1	1	-1	1
110	115	-1	1	1	107	-1	1	-1	1
110	118	1	-1	1	31	-1	1	-1	1
110	118	-1	1	1	656	-1	1	-1	1
110	121	1	-1	0	108	-1	1	1	1
110	121	-1	1	0	617	-1	1	1	1
110	122	1	-1	0	0	1	-1	1	1
110	122	-1	1	0	779	1	-1	1	1
110	125	1	-1	1	450	-1	1	1	1
110	125	-1	1	1	561	-1	1	1	1
110	126	1	-1	1	784	1	1	1	1
110	126	-1	1	0	804	1	1	1	1
110	129	1	-1	1	436	-1	1	-1	1
110	129	-1	1	0	474	-1	1	-1	1
110	130	1	-1	1	988	1	1	1	1
110	130	-1	1	1	513	1	1	1	1
110	131	1	-1	1	333	-1	-1	1	1
110	131	-1	1	0	441	-1	-1	1	1
110	132	1	-1	1	340	1	1	1	-1
110	132	-1	1	0	472	1	1	1	-1
110	133	1	-1	1	602	-1	1	-1	1
110	133	-1	1	0	917	-1	1	-1	1
110	134	1	-1	1	78	-1	1	-1	1
110	134	-1	1	1	461	-1	1	-1	1
110	135	1	-1	0	709	1	1	1	1
110	135	-1	1	1	1093	1	1	1	1
110	136	1	-1	0	375	1	1	-1	1
110	136	-1	1	0	444	1	1	-1	1
110	137	1	-1	0	599	-1	1	-1	1
110	137	-1	1	0	1387	-1	1	-1	1
110	138	1	-1	0	603	-1	1	-1	1
110	138	-1	1	1	1	-1	1	-1	1
110	139	1	-1	0	36	-1	-1	-1	1
110	139	-1	1	0	99	-1	-1	-1	1
110	140	1	-1	1	18	-1	1	-1	-1
110	140	-1	1	0	708	-1	1	-1	-1
110	141	1	-1	1	19	-1	-1	1	1
110	141	-1	1	1	432	-1	-1	1	1
110	142	1	-1	1	17	1	1	-1	-1
110	142	-1	1	1	171	1	1	-1	-1
110	143	1	-1	0	1	-1	-1	-1	1
110	143	-1	1	0	1072	-1	-1	-1	1
110	144	1	-1	1	239	1	-1	1	-1
110	144	-1	1	1	749	1	-1	1	-1
110	145	1	-1	0	792	1	1	1	-1
110	145	-1	1	1	545	1	1	1	-1
110	146	1	-1	1	442	-1	1	-1	1
110	146	-1	1	0	234	-1	1	-1	1
110	149	1	-1	1	397	-1	-1	-1	1
110	149	-1	1	1	799	-1	-1	-1	1
110	150	1	-1	0	833	-1	1	-1	-1
110	150	-1	1	1	809	-1	1	-1	-1
110	151	1	-1	1	502	1	1	1	1
110	151	-1	1	0	454	1	1	1	1
110	152	1	-1	0	463	1	1	-1	1
110	152	-1	1	0	861	1	1	-1	1
110	153	1	-1	1	501	-1	1	-1	1
110	153	-1	1	0	880	-1	1	-1	1
110	154	1	-1	1	707	-1	-1	1	1
110	154	-1	1	0	727	-1	-1	1	1
110	155	1	-1	1	402	1	1	-1	-1
110	155	-1	1	1	553	1	1	-1	-1
110	156	1	-1	1	73	1	1	1	1
110	156	-1	1	1	413	1	1	1	1
110	157	1	-1	1	91	-1	1	-1	1
110	157	-1	1	1	85	-1	1	-1	1
110	158	1	-1	1	7	-1	1	-1	1
110	158	-1	1	1	390	-1	1	-1	1
110	159	1	-1	1	24	-1	-1	1	1
110	159	-1	1	0	764	-1	-1	1	1
110	160	1	-1	1	143	1	1	1	-1
110	160	-1	1	1	670	1	1	1	-1
110	161	1	-1	1	7	1	-1	1	1
110	161	-1	1	1	1173	1	-1	1	1
110	163	1	-1	1	393	1	1	-1	-1
110	163	-1	1	1	345	1	1	-1	-1
110	164	1	-1	1	358	-1	1	-1	1
110	164	-1	1	1	479	-1	1	-1	1
110	165	1	-1	1	10	-1	1	-1	1
110	165	-1	1	1	459	-1	1	-1	1
110	166	1	-1	0	345	-1	1	-1	1
110	166	-1	1	1	690	-1	1	-1	1
110	167	1	-1	0	674	-1	1	1	1
110	167	-1	1	1	700	-1	1	1	1
110	168	1	-1	1	0	1	-1	1	1
110	168	-1	1	0	8	1	-1	1	1
110	169	1	-1	1	495	1	1	-1	-1
110	169	-1	1	1	137	1	1	-1	-1
110	170	1	-1	1	533	1	1	1	1
110	170	-1	1	1	360	1	1	1	1
110	171	1	-1	0	845	-1	1	1	1
110	171	-1	1	1	599	-1	1	1	1
110	172	1	-1	1	441	1	-1	1	1
110	172	-1	1	0	190	1	-1	1	1
110	173	1	-1	1	6	1	1	-1	-1
110	173	-1	1	1	1431	1	1	-1	-1
110	174	1	-1	0	66	-1	1	1	1
110	174	-1	1	1	536	-1	1	1	1
110	175	1	-1	1	287	1	-1	-1	1
110	175	-1	1	1	1318	1	-1	-1	1
110	176	1	-1	0	493	1	1	1	-1
110	176	-1	1	1	444	1	1	1	-1
110	177	1	-1	1	1142	-1	1	-1	1
110	177	-1	1	0	889	-1	1	-1	1
110	179	1	-1	0	640	1	-1	1	1
110	179	-1	1	0	96	1	-1	1	1
110	180	1	-1	0	408	-1	1	-1	-1
110	180	-1	1	0	79	-1	1	-1	-1
110	181	1	-1	0	864	-1	1	1	1
110	181	-1	1	0	483	-1	1	1	1
110	182	1	-1	1	592	1	1	1	1
110	182	-1	1	1	116	1	1	1	1
110	184	1	-1	1	221	1	-1	1	1
110	184	-1	1	0	661	1	-1	1	1
110	186	1	-1	0	1050	-1	1	-1	-1
110	186	-1	1	1	1199	-1	1	-1	-1
110	187	1	-1	0	1	1	1	1	1
110	187	-1	1	0	96	1	1	1	1
110	188	1	-1	0	10	1	1	1	1
110	188	-1	1	0	1030	1	1	1	1
110	189	1	-1	1	398	1	1	1	1
110	189	-1	1	1	112	1	1	1	1
110	190	1	-1	1	750	1	1	1	1
110	190	-1	1	1	792	1	1	1	1
110	191	1	-1	1	456	-1	1	-1	1
110	191	-1	1	0	829	-1	1	-1	1
110	192	1	-1	1	523	-1	1	-1	1
110	192	-1	1	0	458	-1	1	-1	1
110	193	1	-1	1	31	-1	1	-1	1
110	193	-1	1	0	117	-1	1	-1	1
110	194	1	-1	1	402	1	1	1	1
110	194	-1	1	0	342	1	1	1	1
110	195	1	-1	1	344	1	-1	1	1
110	195	-1	1	0	812	1	-1	1	1
110	198	1	-1	1	809	1	1	1	1
110	198	-1	1	1	843	1	1	1	1
110	199	1	-1	0	557	1	1	-1	1
110	199	-1	1	1	331	1	1	-1	1
110	200	1	-1	1	371	1	1	1	1
110	200	-1	1	1	351	1	1	1	1
111	1	1	-1	NA	866	NA	1	NA	NA
111	1	-1	1	NA	787	NA	1	NA	NA
111	2	1	-1	1	386	1	1	1	1
111	2	-1	1	1	486	1	1	1	1
111	3	1	-1	1	354	1	1	1	1
