"NS" "Trial" "Resp" "Reward" "Transition" "PrReward" "PrTransition" "Stay"
"111" 133 1 1 -1 -1 1 1
"111" 134 1 -1 1 1 -1 1
"111" 135 2 1 -1 -1 1 0
"111" 136 2 -1 1 1 -1 1
"111" 137 2 1 -1 -1 1 1
"111" 138 2 -1 -1 1 -1 1
"111" 139 1 1 1 -1 -1 0
"111" 140 1 1 1 1 1 1
"111" 141 1 1 1 1 1 1
"111" 142 1 1 1 1 1 1
"111" 143 1 1 1 1 1 1
"111" 144 1 -1 1 1 1 1
"111" 145 1 1 -1 -1 1 1
"111" 146 1 -1 1 1 -1 1
"111" 147 1 1 1 -1 1 1
"111" 148 1 1 1 1 1 1
"111" 149 1 1 1 1 1 1
"111" 150 1 -1 1 1 1 1
"111" 151 1 -1 -1 -1 1 1
"111" 152 1 1 1 -1 -1 1
"111" 153 1 1 1 1 1 1
"111" 154 1 -1 1 1 1 1
"111" 155 1 1 1 -1 1 1
"111" 156 1 1 -1 1 1 1
"111" 157 1 1 1 1 -1 1
"111" 158 1 -1 1 1 1 1
"111" 159 1 -1 1 -1 1 1
"111" 160 2 -1 1 -1 1 0
"111" 161 1 -1 1 -1 1 0
"111" 162 1 1 1 -1 1 1
"111" 163 1 1 1 1 1 1
"111" 164 1 1 -1 1 1 1
"111" 165 1 1 1 1 -1 1
"111" 166 1 1 1 1 1 1
"111" 167 1 1 1 1 1 1
"111" 168 1 1 1 1 1 1
"111" 169 1 -1 1 1 1 1
"111" 170 1 -1 1 -1 1 1
"111" 171 1 -1 -1 -1 1 1
"111" 172 1 -1 -1 -1 -1 1
"111" 173 1 -1 -1 -1 -1 1
"111" 174 1 -1 1 -1 -1 1
"111" 175 1 -1 -1 -1 1 1
"114" 11 1 -1 -1 1 1 1
"114" 12 2 -1 1 -1 -1 0
"114" 13 1 -1 1 -1 1 0
"114" 14 1 -1 -1 -1 1 1
"114" 15 1 -1 -1 -1 -1 1
"114" 16 2 1 1 -1 -1 0
"114" 17 2 1 1 1 1 1
"114" 18 2 1 -1 1 1 1
"114" 19 2 -1 -1 1 -1 1
"114" 20 1 1 1 -1 -1 0
"114" 21 1 1 1 1 1 1
"114" 22 1 -1 -1 1 1 1
"114" 23 2 -1 1 -1 -1 0
"114" 24 1 -1 1 -1 1 0
"114" 25 1 -1 1 -1 1 1
"114" 26 1 1 -1 -1 1 1
"114" 27 1 1 1 1 -1 1
"114" 28 1 1 1 1 1 1
"114" 29 1 -1 1 1 1 1
"114" 30 2 -1 1 -1 1 0
"114" 31 1 1 1 -1 1 0
"114" 32 1 1 1 1 1 1
"114" 33 1 -1 1 1 1 1
"114" 34 1 -1 -1 -1 1 1
"114" 35 1 -1 -1 -1 -1 1
"114" 36 1 -1 -1 -1 -1 1
"114" 37 2 1 1 -1 -1 0
"114" 38 2 1 -1 1 1 1
"114" 39 2 1 1 1 -1 1
"114" 40 2 1 1 1 1 1
"114" 41 2 -1 1 1 1 1
"114" 42 2 -1 -1 -1 1 1
"114" 43 1 1 1 -1 -1 0
"114" 44 1 1 1 1 1 1
"114" 45 1 1 -1 1 1 1
"114" 46 1 -1 1 1 -1 1
"114" 47 2 -1 1 -1 1 0
"114" 48 1 1 1 -1 1 0
"114" 49 1 -1 1 1 1 1
"114" 50 2 1 -1 -1 1 0
"114" 51 2 -1 1 1 -1 1
"114" 52 1 1 1 -1 1 0
"114" 53 1 1 1 1 1 1
"114" 54 1 1 -1 1 1 1
"114" 55 1 -1 1 1 -1 1
"114" 56 2 -1 1 -1 1 0
"114" 57 1 1 1 -1 1 0
"114" 58 1 -1 1 1 1 1
"114" 59 2 1 1 -1 1 0
"114" 60 2 -1 1 1 1 1
"114" 61 1 -1 -1 -1 1 0
"114" 62 1 1 -1 -1 -1 1
"114" 63 1 -1 -1 1 -1 1
"114" 64 2 1 1 -1 -1 0
"114" 65 2 -1 1 1 1 1
"114" 66 1 1 1 -1 1 0
"114" 67 1 1 1 1 1 1
"114" 68 1 1 -1 1 1 1
"114" 69 1 1 1 1 -1 1
"114" 70 1 -1 1 1 1 1
"114" 72 1 -1 1 -1 1 1
"114" 73 1 -1 1 -1 1 1
"114" 75 2 -1 -1 -1 1 0
"114" 76 2 1 1 -1 -1 1
"114" 77 2 1 1 1 1 1
"114" 78 2 1 -1 1 1 1
"114" 79 2 -1 1 1 -1 1
"114" 80 1 1 -1 -1 1 0
"114" 81 1 -1 1 1 -1 1
"114" 82 2 -1 1 -1 1 0
"114" 83 1 -1 1 -1 1 0
"114" 84 1 1 1 -1 1 1
"114" 85 1 1 -1 1 1 1
"114" 86 1 1 -1 1 -1 1
"114" 87 1 -1 1 1 -1 1
"114" 88 2 1 1 -1 1 0
"114" 89 2 1 1 1 1 1
"114" 90 2 -1 1 1 1 1
"114" 91 1 -1 1 -1 1 0
"114" 92 2 1 1 -1 1 0
"114" 93 2 1 1 1 1 1
"114" 94 2 -1 1 1 1 1
"114" 95 1 -1 -1 -1 1 0
"114" 96 2 1 -1 -1 -1 0
"114" 97 2 1 1 1 -1 1
"114" 98 2 -1 1 1 1 1
"114" 99 1 -1 1 -1 1 0
"114" 100 2 -1 -1 -1 1 0
"114" 101 2 -1 1 -1 -1 1
"114" 102 1 1 -1 -1 1 0
"114" 103 1 1 -1 1 -1 1
"114" 104 1 -1 -1 1 -1 1
"114" 105 2 1 1 -1 -1 0
"114" 106 2 1 -1 1 1 1
"114" 107 2 1 1 1 -1 1
"114" 108 2 1 1 1 1 1
"114" 109 2 -1 -1 1 1 1
"114" 110 1 -1 1 -1 -1 0
"114" 111 2 1 1 -1 1 0
"114" 112 2 1 1 1 1 1
"114" 113 2 1 1 1 1 1
"114" 114 2 -1 1 1 1 1
"114" 115 1 1 1 -1 1 0
"114" 116 1 -1 1 1 1 1
"114" 117 2 -1 -1 -1 1 0
"114" 118 1 1 -1 -1 -1 0
"114" 119 1 1 1 1 -1 1
"114" 120 1 1 -1 1 1 1
"114" 121 1 1 -1 1 -1 1
"114" 122 1 1 -1 1 -1 1
"114" 123 1 1 -1 1 -1 1
"114" 124 1 1 1 1 -1 1
"114" 125 1 -1 1 1 1 1
"114" 126 2 1 1 -1 1 0
"114" 127 2 -1 -1 1 1 1
"114" 128 1 -1 1 -1 -1 0
"114" 129 2 -1 -1 -1 1 0
"114" 130 2 -1 1 -1 -1 1
"114" 131 1 1 1 -1 1 0
"114" 132 1 -1 1 1 1 1
"114" 133 1 1 1 -1 1 1
"114" 134 1 -1 -1 1 1 1
"114" 135 1 -1 1 -1 -1 1
"114" 136 1 -1 1 -1 1 1
"114" 137 2 -1 -1 -1 1 0
"114" 138 1 1 1 -1 -1 0
"114" 139 1 1 -1 1 1 1
"114" 140 1 -1 1 1 -1 1
"114" 141 1 -1 1 -1 1 1
"114" 142 2 -1 1 -1 1 0
"114" 143 1 1 -1 -1 1 0
"114" 144 1 1 1 1 -1 1
"114" 145 1 1 1 1 1 1
"114" 146 1 -1 1 1 1 1
"114" 147 2 1 1 -1 1 0
"114" 148 2 1 1 1 1 1
"114" 149 2 1 1 1 1 1
"114" 150 2 -1 1 1 1 1
"114" 151 1 -1 1 -1 1 0
"114" 152 2 1 1 -1 1 0
"114" 153 2 -1 1 1 1 1
"114" 154 1 -1 1 -1 1 0
"114" 155 2 -1 -1 -1 1 0
"114" 156 1 1 -1 -1 -1 0
"114" 157 1 1 1 1 -1 1
"114" 158 1 -1 -1 1 1 1
"114" 159 1 -1 -1 -1 -1 1
"114" 160 1 -1 1 -1 -1 1
